	Tippe	Wildcat
site_no	3331500.0	3335000.0
Mean Flow	955.7706391196949	866.4724567258028
Peak Flow	4896.0	10387.4
Median Flow	706.51	429.08
Coeff Var	82.96229088563904	148.8175921910175
Skew	1.9407244618431323	3.979348376044309
Tqmean	0.3611403548169772	0.26369458791825734
R-B Index	0.09038564674040646	0.2711167902697777
7Q	220.09142857142854	107.30571428571432
3xMedian	35.14	63.36
